,period,price,number
407,20231007471,14982,2
408,20231007470,14971,1
409,20231007469,14977,7
410,20231007478,15009,9
411,20231007477,14999,9
412,20231007476,14987,7
413,20231007475,15006,6
414,20231007454,14998,8
415,20231007453,15006,6
416,20231007452,15020,0
417,20231007461,15002,2
418,20231007460,15026,6
419,20231007459,15057,7
420,20231007468,14979,9
421,20231007467,14947,7
422,20231007466,14947,7
423,20231007465,14961,1
424,20231007444,14968,8
425,20231007443,14972,2
426,20231007442,14976,6
427,20231007441,15004,4
428,20231007440,15008,8
429,20231007439,15017,7
430,20231007448,14957,7
431,20231007447,14968,8
432,20231007446,14984,4
433,20231007445,14964,4
434,20231007444,14968,8
435,20231007443,14972,2
436,20231007442,14976,6
437,20231007441,15004,4
438,20231007440,15008,8
439,20231007439,15017,7
440,20231007448,14957,7
441,20231007447,14968,8
442,20231007446,14984,4
443,20231007445,14964,4
444,20231007444,14968,8
445,20231007443,14972,2
446,20231007442,14976,6
447,20231007441,15004,4
448,20231007440,15008,8
449,20231007439,14983,3
450,20231007438,14983,3
451,20231007427,14989,9
452,20231007426,14962,2
453,20231007425,14966,6
454,20231007424,14941,1
455,20231007413,14963,3
456,20231007412,14943,3
457,20231007411,14943,3
458,20231007410,14946,6
459,20231007409,14951,1
460,20231007418,14999,9
461,20231007417,14967,7
462,20231007416,14972,2
463,20231007415,14959,9
464,20231007414,14941,1
465,20231007413,14963,3
466,20231007412,14943,3
467,20231007411,14943,3
468,20231007410,14946,6
469,20231007409,14951,1
470,20231007418,14999,9
471,20231007417,14967,7
472,20231007416,14972,2
473,20231007415,14959,9
474,20231007414,14941,1
475,20231007413,14963,3
476,20231007412,14943,3
477,20231007411,14943,3
478,20231007390,14826,6
479,20231007389,14832,2
480,20231007398,14916,6
481,20231007397,14881,1
482,20231007396,14889,9
483,20231007395,14856,6
484,20231007384,14792,2
485,20231007383,14825,5
486,20231007382,14918,8
487,20231007401,14921,1
488,20231007400,14921,1
489,20231007399,14928,8
490,20231007408,14943,3
491,20231007407,14943,3
492,20231007406,14926,6
493,20231007405,14913,3
494,20231007374,14878,8
495,20231007373,14858,8
496,20231007372,14889,9
497,20231007371,14903,3
498,20231007370,14921,1
499,20231007369,14943,3
500,20231007378,14794,4
501,20231007377,14802,2
502,20231007376,14822,2
503,20231007375,14852,2
504,20231007364,15032,2
505,20231007363,15029,9
506,20231007362,15002,2
507,20231007361,14981,1
508,20231007360,14998,8
509,20231007359,14995,5
510,20231007368,14963,3
511,20231007367,14990,0
512,20231007366,14984,4
513,20231007365,15006,6
514,20231007354,14980,0
515,20231007353,14994,4
516,20231007352,14978,8
517,20231007351,14963,3
518,20231007350,14958,8
519,20231007349,14957,7
520,20231007358,14991,1
521,20231007357,14981,1
522,20231007356,14961,1
523,20231007355,14983,3
524,20231007344,14972,2
525,20231007343,14943,3
526,20231007342,14956,6
527,20231007341,14933,3
528,20231007340,14924,4
529,20231007339,14939,9
530,20231007348,14969,9
531,20231007347,14994,4
532,20231007346,14972,2
533,20231007345,14992,2
534,20231007334,14884,4
535,20231007333,14900,0
536,20231007332,14910,0
537,20231007331,14902,2
538,20231007330,14886,6
539,20231007329,14894,4
540,20231007338,14912,2
541,20231007337,14914,4
542,20231007336,14892,2
543,20231007335,14883,4
544,20231007324,14867,7
545,20231007323,14854,4
546,20231007322,14875,5
547,20231007321,14872,2
548,20231007320,14889,9
549,20231007319,14853,3
